origin_country,total_flights,avg_velocity,on_ground
Algeria,11,174.19272727272727,0
Argentina,21,156.77238095238096,1
Armenia,1,244.04,0
Australia,39,101.86846153846153,17
Austria,146,154.08760273972604,7
Azerbaijan,3,219.49,0
Bahamas,1,247.74,0
Bahrain,4,182.1,1
Bangladesh,5,62.74400000000001,1
Belarus,2,80.48,0
Belgium,40,164.51225,7
Bolivia,1,183.32,0
Brazil,140,159.7725,7
Bulgaria,9,204.67666666666665,0
Burkina Faso,1,83.67,0
Cambodia,4,166.57999999999998,0
Canada,166,122.93566265060241,58
Cape Verde,1,220.3,0
Chile,21,173.96571428571428,2
China,269,197.94197026022306,17
Colombia,4,80.38,1
Croatia,7,191.69571428571427,1
Czech Republic,54,107.77074074074073,0
Côte d'Ivoire,1,226.77,0
Denmark,19,194.1742105263158,0
Dominican Republic,8,220.2925,0
Egypt,36,188.27805555555557,4
Estonia,4,118.4825,2
Ethiopia,8,168.92375,0
Finland,37,163.49891891891892,4
France,171,173.4898245614035,7
Georgia,7,150.99142857142857,2
Germany,377,133.84328912466842,25
Greece,37,170.80459459459462,5
Guatemala,1,2.31,1
Hungary,50,182.9002,1
Iceland,16,220.34437499999999,0
India,191,160.34979057591624,28
Indonesia,13,226.25,0
Ireland,269,188.0798884758364,14
Israel,16,217.4775,0
Italy,42,112.56833333333333,1
Japan,131,178.97564885496183,17
Jordan,10,230.282,0
Kazakhstan,5,184.552,0
Kenya,4,229.4625,0
Kingdom of the Netherlands,98,168.74734693877554,16
Kuwait,1,244.02,0
Lao People's Democratic Republic,1,119.11,0
Latvia,27,198.16888888888892,1
Lebanon,2,240.70499999999998,0
Libyan Arab Jamahiriya,2,227.13,0
Lithuania,7,191.70000000000002,0
Luxembourg,31,181.5383870967742,1
Malaysia,43,187.72255813953487,0
Malta,151,188.70403973509934,10
Mexico,45,209.3208888888889,1
Mongolia,1,71.95,0
Morocco,31,210.50645161290322,1
Myanmar,5,125.60799999999999,0
Nepal,2,115.4,0
New Zealand,3,93.84333333333332,1
Nigeria,1,246.8,0
Norway,37,181.6783783783784,1
Oman,4,198.9175,0
Pakistan,1,134.32,0
Panama,10,220.14000000000001,0
Paraguay,1,91.71,0
Philippines,27,154.05629629629632,3
Poland,123,157.10439024390243,3
Portugal,81,171.43555555555557,7
Qatar,22,259.10681818181814,2
Republic of Korea,99,200.06575757575757,5
Republic of Moldova,6,192.94500000000002,0
Romania,15,198.97066666666666,0
Russian Federation,47,154.78478260869565,4
San Marino,11,171.68272727272728,0
Saudi Arabia,19,204.52736842105264,1
Senegal,1,66.53,0
Serbia,14,117.41,3
Singapore,35,203.4082857142857,0
Slovakia,8,44.71625,0
Slovenia,3,56.580000000000005,0
South Africa,18,147.51555555555558,3
Spain,166,179.77234939759035,7
Sri Lanka,2,247.26,0
Suriname,1,213.16,0
Sweden,83,210.26879518072292,4
Switzerland,116,160.1116379310345,14
Taiwan,53,192.99415094339625,3
Thailand,66,190.0360606060606,0
Trinidad and Tobago,1,204.75,0
Tunisia,11,203.96545454545455,1
Turkey,245,187.43391836734693,17
Turkmenistan,3,233.13333333333333,0
Ukraine,4,168.0975,0
United Arab Emirates,46,200.91108695652173,3
United Kingdom,433,153.32900692840647,23
United States,2422,163.11639966969446,252
Uzbekistan,5,163.666,0
Venezuela,2,77.06,0
Viet Nam,26,190.03,1
