origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,234.01,0
Algeria,2,172.155,0
Angola,1,223.76,0
Argentina,17,201.83823529411765,1
Australia,389,98.21304123711342,107
Austria,27,153.70851851851853,5
Bangladesh,3,244.85,0
Belarus,1,97.16,0
Belgium,2,2.83,2
Bhutan,1,7.72,1
Brazil,103,181.21776699029127,8
Brunei Darussalam,1,290.19,0
Bulgaria,2,215.175,0
Cambodia,1,65.66,0
Canada,454,146.33662995594713,64
Chile,17,183.42117647058822,0
China,136,192.1433823529412,7
Colombia,2,236.25,0
Croatia,2,138.43,0
Czech Republic,7,149.90285714285713,1
Denmark,7,180.56857142857143,0
Dominican Republic,3,231.76,0
Egypt,16,209.640625,0
Estonia,1,96.26,0
Ethiopia,15,252.77266666666668,0
Fiji,1,223.59,0
Finland,12,124.25916666666667,2
France,44,188.06204545454545,3
Georgia,2,37.295,2
Germany,69,169.3872463768116,15
Greece,5,146.374,2
Guatemala,7,60.73285714285714,0
Guinea,1,227.94,0
Haiti,1,58.21,0
Hungary,18,211.8438888888889,0
Iceland,10,149.92000000000002,2
India,54,162.05425925925925,13
Indonesia,12,226.35083333333333,0
Ireland,116,163.42370689655175,14
Israel,1,235.44,0
Italy,3,66.63666666666667,1
Japan,154,171.3777922077922,23
Kazakhstan,4,257.53000000000003,0
Kingdom of the Netherlands,24,173.81625,6
Libyan Arab Jamahiriya,1,230.09,0
Lithuania,4,130.4425,0
Luxembourg,6,210.85833333333335,0
Malaysia,41,173.34731707317073,3
Maldives,1,245.51,0
Malta,51,167.32058823529414,6
Mauritius,1,255.02,0
Mexico,97,178.00061855670106,9
Morocco,5,134.57,2
Myanmar,3,165.79333333333332,0
Nepal,1,196.74,0
New Zealand,67,77.58985074626865,6
Nicaragua,1,31.29,0
Norway,6,217.25833333333333,0
Oman,7,237.28,0
Pakistan,2,262.745,0
Panama,17,212.19529411764708,0
Philippines,48,144.4075,3
Poland,26,171.26230769230767,2
Portugal,11,163.16363636363636,2
Republic of Korea,66,180.64939393939395,6
Romania,2,232.805,0
Russian Federation,18,203.0327777777778,0
San Marino,1,208.57,0
Saudi Arabia,11,232.76000000000002,1
Serbia,3,146.91333333333333,0
Singapore,27,218.78962962962962,1
Slovakia,2,223.815,0
South Africa,1,3.09,0
Spain,46,161.35565217391303,8
Sri Lanka,3,239.9766666666667,0
Suriname,1,77.24,0
Sweden,8,101.68374999999999,4
Switzerland,16,196.9625,2
Taiwan,46,181.52999999999997,4
Thailand,27,160.77333333333334,1
Trinidad and Tobago,5,166.428,0
Tunisia,2,223.36,0
Turkey,74,200.3410810810811,3
Ukraine,1,234.37,0
United Arab Emirates,13,231.72846153846154,0
United Kingdom,110,169.39700000000002,20
United States,6278,133.345,510
Uzbekistan,4,209.945,0
Viet Nam,9,133.1877777777778,2
