origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,242.62,0
Algeria,4,196.1275,0
Argentina,11,157.69818181818184,1
Australia,320,97.96705329153606,87
Austria,52,173.3298076923077,6
Azerbaijan,2,1100.18,0
Bahamas,1,220.61,0
Bangladesh,5,56.774,4
Belarus,1,216.19,0
Belgium,1,226.39,0
Brazil,124,177.07233870967744,9
Brunei Darussalam,1,205.63,0
Bulgaria,7,137.76142857142858,2
Cambodia,1,193.15,0
Canada,439,142.89685649202733,78
Chile,25,179.57,1
China,101,185.560198019802,14
Colombia,4,175.9325,1
Croatia,1,227.71,0
Czech Republic,3,236.16,0
Denmark,13,192.51692307692306,0
Dominican Republic,1,203.32,0
Egypt,14,215.9692857142857,0
Estonia,2,117.535,1
Ethiopia,17,246.50941176470587,0
Finland,25,135.25879999999998,5
France,57,166.03719298245616,3
Georgia,2,37.295,2
Germany,101,170.70782178217823,18
Greece,8,197.53125,1
Guatemala,4,35.35,1
Guinea,1,213.61,0
Guyana,1,69.6,0
Hungary,17,210.53411764705882,0
Iceland,11,197.1209090909091,0
India,50,178.142,9
Indonesia,3,181.13333333333333,0
Ireland,101,183.24316831683169,7
Israel,2,155.435,0
Italy,4,108.89750000000001,0
Japan,126,176.0388888888889,16
Kazakhstan,2,381.365,0
Kingdom of the Netherlands,38,201.08815789473684,3
Kuwait,1,264.03,0
Latvia,3,163.1833333333333,0
Lithuania,2,63.32,1
Luxembourg,10,172.903,2
Malaysia,35,180.47171428571428,3
Malta,43,175.79023255813954,2
Mauritius,1,237.35,0
Mexico,87,186.0735632183908,4
Morocco,4,203.9425,0
Myanmar,1,17.76,0
Nepal,1,202.14,0
New Zealand,115,76.40104347826087,6
Nigeria,1,240.16,0
Norway,6,171.9416666666667,0
Oman,7,230.94428571428574,0
Pakistan,1,201.29,0
Panama,17,206.34823529411764,0
Philippines,43,122.22976744186047,5
Poland,32,177.776875,2
Portugal,20,184.20250000000001,2
Qatar,4,182.515,1
Republic of Korea,64,190.0940625,4
Republic of Moldova,2,245.07,0
Romania,1,70.9,0
Russian Federation,32,156.7640625,0
San Marino,2,241.885,0
Saudi Arabia,12,200.20416666666665,1
Senegal,1,85.88,0
Serbia,1,219.88,0
Singapore,25,207.2356,1
Slovakia,1,75.75,0
South Africa,3,176.66,0
Spain,76,164.28526315789475,7
Sri Lanka,4,135.8275,0
Sweden,23,145.28565217391306,5
Switzerland,20,142.95499999999998,7
Taiwan,22,209.32045454545457,0
Thailand,39,188.57615384615386,2
Trinidad and Tobago,1,192.08,0
Tunisia,1,256.19,0
Turkey,61,204.14852459016393,3
Turkmenistan,2,122.005,0
Ukraine,7,207.77857142857144,0
United Arab Emirates,13,237.24384615384616,0
United Kingdom,131,174.95557251908397,16
United Republic of Tanzania,1,246.9,0
United States,6206,136.56916357775987,542
Uzbekistan,2,209.38,0
Venezuela,2,177.33999999999997,0
Viet Nam,16,222.2125,0
