icao24,origin_country,velocity,on_ground
ab1644,United States,242.29,False
aa8c39,United States,235.7,False
aa3cbe,United States,54.65,False
408120,United Kingdom,216.9,False
ac1c16,United States,152.58,False
aa56db,United States,87.97,False
aa56da,United States,78.71,False
a3feec,United States,205.86,False
7c6b2f,Australia,7.72,True
7c6b2d,Australia,262.24,False
7c6b41,Australia,224.01,False
ade191,United States,213.4,False
c07d22,Canada,105.29,False
a59545,United States,2.31,True
e49405,Brazil,243.33,False
aa56d8,United States,192.71,False
4b1804,Switzerland,0.0,True
47be9c,Norway,71.05,False
aa56d4,United States,96.27,False
4b1807,Switzerland,0.0,True
ad4f0b,United States,213.69,False
a5820c,United States,177.67,False
4b1800,Switzerland,0.0,True
a798c6,United States,236.26,False
acdfa6,United States,95.55,False
7c6b30,Australia,180.19,False
a1fb4b,United States,195.65,False
a9a0fd,United States,30.88,False
ab76e6,United States,268.56,False
a5f83d,United States,153.09,False
a162fc,United States,215.74,False
a282e5,United States,266.17,False
4952ce,Portugal,227.1,False
7c6b36,Australia,67.52,False
a36898,United States,258.63,False
acdfa3,United States,214.28,False
a10e8b,United States,118.05,False
a7d5a5,United States,52.23,False
a4ab44,United States,8.23,True
adffb2,United States,209.61,False
ad3c16,United States,213.17,False
7c6b0e,Australia,209.43,False
7c6b0d,Australia,244.89,False
0d0c14,Mexico,221.56,False
7c6b0c,Australia,63.17,False
a3f2d5,United States,41.69,False
a162e6,United States,56.4,True
a1befc,United States,73.57,False
801622,India,158.99,False
7c6b28,Australia,111.71,False
851914,Japan,4.89,True
ab63bc,United States,260.2,False
a21b44,United States,197.3,False
4b181c,Switzerland,215.45,False
a6053c,United States,54.39,False
aa56b5,United States,257.47,False
a22e91,United States,46.62,False
aa56b8,United States,226.57,False
adffa3,United States,133.77,False
a808d7,United States,221.9,False
ad5621,United States,65.8,False
ad5622,United States,248.99,False
ad5623,United States,224.35,False
a6aec4,United States,245.21,False
a6c8cd,United States,229.92,False
440daf,Austria,232.64,False
ad5628,United States,240.71,False
4952c3,Portugal,225.24,False
4952c4,Portugal,249.96,False
a89eb9,United States,30.88,True
acdfab,United States,128.88,False
ad3c20,United States,64.67,False
aaef83,United States,29.25,False
a1025a,United States,195.76,False
a2ded8,United States,189.08,False
ac2f5a,United States,133.56,False
a48850,United States,221.35,False
a46e39,United States,54.54,False
ad694c,United States,219.9,False
ab63d7,United States,215.75,False
ae26a4,United States,52.51,False
a33b1e,United States,152.08,False
a46e35,United States,263.46,False
7c6b18,Australia,4.63,True
7c6b17,Australia,251.96,False
4952aa,Portugal,256.77,False
a2355d,United States,205.66,False
a6fe32,United States,62.21,False
a5de4a,United States,27.34,False
a21b53,United States,63.79,False
4952af,Portugal,257.7,False
c047cf,Canada,64.47,False
ae6309,United States,144.45,False
a2228b,United States,204.6,False
a2d2fc,United States,53.08,False
ae6306,United States,82.84,False
a9b3f9,United States,149.64,False
ae6301,United States,156.68,False
aaef89,United States,266.16,False
ad4f72,United States,191.15,False
ab034d,United States,242.44,False
ad3c1f,United States,248.74,False
a007ac,United States,37.38,False
e49443,Brazil,211.35,False
e49444,Brazil,238.78,False
e49445,Brazil,234.82,False
a7b057,United States,195.88,False
ac83c3,United States,240.61,False
abb3b6,United States,217.33,False
ab0361,United States,178.9,False
a7bc8e,United States,246.59,False
4952a7,Portugal,225.77,False
4952a9,Portugal,150.46,False
ae26ab,United States,60.56,False
ad5647,United States,197.92,False
a2d2eb,United States,1.8,True
abf008,United States,241.63,False
511172,Estonia,230.44,False
abb3be,United States,207.18,False
4952a4,Portugal,229.07,False
a7c36d,United States,84.07,False
a7d69e,United States,55.8,False
ac1020,United States,66.7,False
801697,India,4.12,True
ad563d,United States,261.78,False
aa0930,United States,57.45,False
aae34c,United States,242.33,False
aaf67b,United States,175.96,False
3c6671,Germany,238.14,False
841a6c,Japan,1.29,True
a34e9d,United States,198.05,False
ac1c76,United States,0.06,True
adfff7,United States,177.46,False
ac234f,United States,8.75,True
ae13af,United States,141.71,False
a2d2da,United States,212.81,False
47b217,Norway,232.52,False
acdffc,United States,233.28,False
e4941c,Brazil,223.27,False
ad90a3,United States,277.37,False
408143,United Kingdom,3.09,True
ae6322,United States,131.77,False
a21b7c,United States,123.6,False
a22275,United States,57.42,False
a6fe09,United States,78.69,False
aae35f,United States,212.49,False
801666,India,284.77,False
ad3006,United States,160.49,False
