icao24,origin_country,velocity,on_ground
408127,United Kingdom,233.67,False
c07d0b,Canada,29.34,False
aa8c39,United States,228.0,False
a2d2c6,United States,143.41,False
408120,United Kingdom,249.02,False
aa56db,United States,209.67,False
7c6b2d,Australia,251.22,False
408121,United Kingdom,211.05,False
ade18c,United States,222.46,False
a53edd,United States,38.29,False
ade191,United States,201.17,False
7c6b41,Australia,130.41,False
a665b9,United States,189.86,False
7c6b40,Australia,243.16,False
801640,India,133.55,False
ab6fdd,United States,88.49,False
801645,India,0.0,True
a3b87f,United States,261.87,False
842194,Japan,209.15,False
a9f065,United States,78.74,False
80162f,India,6.94,True
8744f6,Japan,106.94,False
aa56d4,United States,5.66,True
a0e279,United States,66.64,False
aa56d5,United States,136.06,False
ad4f0b,United States,219.74,False
a5f849,United States,264.31,False
7c6b1c,Australia,240.43,False
7c6b1b,Australia,164.96,False
a9a0fb,United States,34.53,False
7c6b39,Australia,214.27,False
7c6b37,Australia,205.46,False
a36898,United States,226.91,False
acdfa3,United States,225.61,False
a665c5,United States,192.25,False
a2cbaf,United States,71.74,False
ac496b,United States,79.06,False
7c6b19,Australia,252.99,False
ac1c37,United States,104.2,False
7c6b0f,Australia,89.64,False
7c6b0e,Australia,80.62,False
a10e98,United States,39.21,False
a532c4,United States,95.17,False
c047e7,Canada,30.0,False
a23563,United States,7.0,False
a22233,United States,59.22,False
ae26b6,United States,72.24,False
ad4f52,United States,47.37,False
c0841b,Canada,55.95,False
ab76f8,United States,212.6,False
801621,India,222.55,False
a175fa,United States,240.42,False
a21b44,United States,240.89,False
4b181c,Switzerland,222.58,False
a808d7,United States,182.48,False
a1fb33,United States,183.25,False
ad5623,United States,267.96,False
aa56b3,United States,10.8,True
4952c1,Portugal,157.94,False
440daf,Austria,90.19,False
4952c3,Portugal,112.58,False
ad5628,United States,79.13,False
a1c5e0,United States,203.85,False
a84515,United States,68.54,False
4b180c,Switzerland,0.0,True
ac2f5a,United States,205.06,False
aae32c,United States,81.81,False
ae26a4,United States,27.48,False
a46e35,United States,143.53,False
a33b1e,United States,269.74,False
a34215,United States,152.91,False
ac83b4,United States,42.69,False
7c6b13,Australia,185.54,False
c047cf,Canada,55.92,False
80166c,India,249.71,False
4b1858,Switzerland,231.57,False
ac2f83,United States,134.45,False
adeca5,United States,226.77,False
a2228b,United States,216.71,False
adffd2,United States,226.49,False
aad012,United States,239.28,False
8a02d3,Indonesia,222.28,False
a90385,United States,188.3,False
ae6305,United States,200.26,False
c822ec,New Zealand,89.84,False
adffbb,United States,230.42,False
e49443,Brazil,228.63,False
4bc8c2,Turkey,27.88,False
a7b057,United States,200.54,False
ab0361,United States,207.7,False
4952a7,Portugal,243.01,False
a2d2eb,United States,127.85,False
abf008,United States,268.42,False
e80260,Chile,80.5,False
e4944f,Brazil,241.32,False
511172,Estonia,96.26,False
ab63f3,United States,45.55,False
a46e8d,United States,149.13,False
aae34c,United States,55.29,False
4bc8d5,Turkey,252.69,False
841a6c,Japan,206.88,False
abb3c3,United States,53.54,False
ac83d5,United States,195.55,False
a58e1e,United States,254.89,False
a2d2f2,United States,228.11,False
7c6b4c,Australia,63.89,False
a34e9d,United States,189.54,False
ac1c76,United States,293.33,False
a963f7,United States,222.0,False
ad5679,United States,94.98,False
80164c,India,242.98,False
a39bfa,United States,1.54,True
a35592,United States,180.55,False
ac101f,United States,235.17,False
adfff4,United States,247.46,False
471efa,Hungary,220.91,False
a2d2da,United States,8.23,True
408142,United Kingdom,13.38,True
47b217,Norway,251.07,False
a3a538,United States,178.23,False
ad3c55,United States,34.51,False
ad90a3,United States,249.46,False
ac70ab,United States,289.69,False
a22275,United States,46.22,False
ad4f98,United States,84.51,False
ad3006,United States,51.96,False
a59529,United States,50.77,False
ac70c9,United States,86.97,False
adecb6,United States,111.59,False
a59530,United States,101.84,False
80165d,India,249.16,False
ace6e2,United States,217.75,False
ae6317,United States,63.44,False
a5f825,United States,152.57,False
ae6313,United States,69.53,False
a9a0b6,United States,33.44,False
a3556f,United States,207.71,False
ac1042,United States,11.32,True
a46e6a,United States,228.86,False
adffcc,United States,243.15,False
a3b86c,United States,0.0,True
a2e5ef,United States,57.4,False
a4c527,United States,189.58,False
a88072,United States,240.14,False
c01b6c,Canada,262.74,False
ac21e4,United States,240.55,False
aa8075,United States,109.88,False
a94b50,United States,244.29,False
0d0acd,Mexico,90.7,False
adda1b,United States,103.46,False
a69b92,United States,21.09,True
a4b294,United States,59.34,False
a04431,United States,53.61,False
e80211,Chile,226.02,False
a9fbb7,United States,198.93,False
a02a0d,United States,66.56,False
a7bbe9,United States,179.28,False
a0a734,United States,241.41,False
a03d3c,United States,160.63,False
3c65a2,Germany,274.49,False
a94b4d,United States,2.83,True
a94b4b,United States,266.05,False
4b187b,Switzerland,267.52,False
0d0ae8,Mexico,219.52,False
c082f2,Canada,34.56,False
a27d22,United States,212.62,False
accd69,United States,195.38,False
a5d282,United States,55.05,False
a22db9,United States,62.21,False
a82b4c,United States,59.13,False
8a0418,Indonesia,255.54,False
440248,Austria,191.18,False
a03d4a,United States,216.9,False
a1641b,United States,81.67,False
ad3add,United States,60.28,False
a71e9a,United States,14.4,True
a0f4a2,United States,195.49,False
4b1882,Switzerland,217.92,False
aa8051,United States,73.66,False
0d0aef,Mexico,213.28,False
aae1fa,United States,258.82,False
4bc8cc,Turkey,63.91,False
a8f5ba,United States,38.08,False
a29713,United States,0.0,True
ae1480,United States,140.46,False
aded77,United States,44.24,True
a94b2b,United States,214.07,False
c81d02,New Zealand,22.32,False
acd486,United States,195.62,False
a04417,United States,125.03,False
a10da3,United States,84.03,False
a94b2e,United States,206.41,False
aa8c98,United States,187.99,False
a54711,United States,43.99,False
ae1468,United States,276.91,False
a09dc5,United States,63.7,False
46b82c,Greece,262.33,False
a5d28e,United States,225.32,False
c0226c,Canada,210.94,False
adf43e,United States,41.17,False
e80241,Chile,246.81,False
a6eb1e,United States,133.65,False
c0220d,Canada,234.79,False
aa43ed,United States,0.0,True
a41412,United States,152.59,False
aab9ae,United States,210.26,False
a40d26,United States,128.34,False
a94b0a,United States,217.41,False
c07bbe,Canada,113.3,False
c0487a,Canada,51.1,False
3c4081,Germany,12.35,True
c81d25,New Zealand,14.4,True
7c6b07,Australia,270.62,False
851936,Japan,2.57,True
a1a110,United States,0.45,True
a22dce,United States,72.74,False
a4ab61,United States,119.04,False
a6188e,United States,36.44,False
acd47e,United States,181.63,False
ac491d,United States,203.6,False
ac2f18,United States,240.67,False
acc161,United States,44.35,False
a101c3,United States,245.02,False
a808ed,United States,216.67,False
a94b29,United States,0.0,True
a5f87d,United States,27.16,False
861f00,Japan,3.09,True
a1ad44,United States,206.14,False
46b822,Greece,231.34,False
a71e5c,United States,0.0,True
a15d6c,United States,71.14,False
a2973d,United States,68.79,False
a772d5,United States,43.6,False
aaef21,United States,221.56,False
a6fe6b,United States,15.85,False
abd9b5,United States,246.9,False
c02e91,Canada,240.25,False
a57b97,United States,79.84,False
a785fd,United States,205.89,False
c02e94,Canada,204.47,False
a247f0,United States,176.12,False
a0311d,United States,226.93,False
a77eff,United States,105.9,False
a27d26,United States,247.83,False
aa43c4,United States,5.14,True
aa9f6f,United States,0.0,True
aa56f8,United States,191.99,False
a69b86,United States,223.48,False
0d0abd,Mexico,241.59,False
ae0175,United States,202.5,False
a94b05,United States,247.32,False
ac2f37,United States,189.23,False
a39d11,United States,185.15,False
a85887,United States,237.91,False
ab162b,United States,201.27,False
ae016d,United States,155.74,False
a16441,United States,44.5,False
ac4949,United States,102.38,False
aa441e,United States,47.29,False
aa441c,United States,238.01,False
a1515b,United States,247.41,False
aa07f9,United States,273.81,False
7cf9f7,Australia,157.51,False
7c4990,Australia,125.59,False
a3ed69,United States,156.25,False
3980a3,France,48.49,False
a0e1e8,United States,0.51,False
c03517,Canada,206.87,False
c8243a,New Zealand,205.23,False
ae2707,United States,52.39,False
a00916,United States,42.46,False
ad071d,United States,194.54,False
a41447,United States,253.79,False
87455c,Japan,242.34,False
ac972d,United States,2.31,True
a3a4de,United States,72.54,False
8014b4,India,205.77,False
a28473,United States,214.44,False
a737c7,United States,257.02,False
c0481b,Canada,170.28,False
c0481c,Canada,224.54,False
a6b71d,United States,44.82,False
a6b71e,United States,52.64,False
a58ded,United States,199.43,False
aa9dab,United States,61.27,False
a2d446,United States,60.11,False
a5f7d9,United States,38.67,False
a00929,United States,0.51,True
a0dae2,United States,222.34,False
accd13,United States,202.64,False
a39113,United States,176.73,False
a2ba24,United States,149.52,False
a28461,United States,68.13,False
a42761,United States,54.72,False
ab5d52,United States,230.2,False
aa4410,United States,69.27,False
accd18,United States,208.56,False
aaa74e,United States,27.28,False
a234db,United States,61.71,False
800da0,India,0.0,True
a091f3,United States,243.42,False
e07584,Argentina,238.35,False
75832f,Philippines,0.0,True
a0a798,United States,60.49,False
e07581,Argentina,235.26,False
a0e1c6,United States,0.0,False
a7d736,United States,115.9,False
a6fdbe,United States,50.93,False
a3ed7c,United States,94.19,False
ac2dc7,United States,244.18,False
a2845b,United States,5.4,True
ab14d9,United States,161.09,False
a63a29,United States,139.23,False
c81d82,New Zealand,181.13,False
abc759,United States,49.93,False
a1b449,United States,239.77,False
a65454,United States,6.69,True
ac2dcc,United States,73.57,False
c81d8e,New Zealand,194.26,False
a3ed96,United States,176.18,False
a3ed91,United States,240.75,False
a234ef,United States,142.18,False
a3e13a,United States,65.87,False
a4fa2f,United States,62.45,False
c82480,New Zealand,33.17,False
a78754,United States,42.2,False
a70aa1,United States,209.55,False
7c3635,Australia,53.29,False
a88d10,United States,0.0,True
78201b,China,169.47,False
a857c9,United States,216.46,False
86d5fa,Japan,192.16,False
344498,Spain,236.73,False
a52147,United States,134.83,False
a3f401,United States,221.64,False
3de8e3,Germany,61.89,False
ab6458,United States,157.02,False
a52d10,United States,34.21,False
8014df,India,236.87,False
a9fbf8,United States,57.12,False
758339,Philippines,210.42,False
a66724,United States,155.39,False
ac2dea,United States,231.99,False
758338,Philippines,250.34,False
758337,Philippines,250.27,False
a3b7cb,United States,4.63,True
8014f8,India,2.06,True
a82b8e,United States,57.93,False
a40d8d,United States,0.9,True
a10f22,United States,56.81,False
a41487,United States,209.91,False
accd1e,United States,33.02,False
a39d9b,United States,240.3,False
c2b0c1,Canada,94.23,False
471f9e,Hungary,250.13,False
758306,Philippines,242.14,False
aaf4ee,United States,138.53,False
00b1c3,South Africa,3.09,False
e49eca,Brazil,227.62,False
ae2762,United States,57.1,False
86d5e5,Japan,224.59,False
a594a2,United States,200.39,False
861e92,Japan,130.15,False
a40d7a,United States,3.09,True
ae5aa6,United States,5.14,True
a65405,United States,45.8,False
ae5ab1,United States,31.49,False
c04829,Canada,282.31,False
a2c145,United States,64.85,False
495309,Portugal,0.0,True
acba1b,United States,88.2,False
abc780,United States,0.0,True
ac1ad7,United States,76.14,False
ac21af,United States,127.28,False
a3b7f4,United States,151.05,False
86cef4,Japan,245.96,False
c04826,Canada,184.14,False
acba30,United States,194.33,False
e49ed4,Brazil,182.14,False
a4bdb9,United States,190.68,False
a9a234,United States,168.12,False
495301,Portugal,261.75,False
495302,Portugal,236.65,False
adb7e7,United States,50.95,False
8014d3,India,4.89,True
a3f436,United States,0.0,True
86cee7,Japan,235.56,False
a12921,United States,33.44,False
a9525e,United States,212.9,False
a39d95,United States,150.69,False
7c1c4b,Australia,64.31,False
a58dbb,United States,2.57,True
c2bcdd,Canada,124.77,False
ad8a23,United States,46.43,False
ad9d59,United States,32.68,False
a53436,United States,223.23,False
471f7a,Hungary,63.17,False
ac712d,United States,0.0,True
758309,Philippines,237.12,False
471f68,Hungary,221.34,False
a0a6c5,United States,211.58,False
aa0909,United States,184.07,False
471f66,Hungary,248.67,False
0d122a,Mexico,177.29,False
7c6a8c,Australia,180.82,False
c020be,Canada,0.0,True
34310d,Spain,0.64,True
471f64,Hungary,199.66,False
a09322,United States,161.58,False
a0dc17,United States,51.37,False
a5d1f7,United States,0.0,True
a4b1fe,United States,77.59,False
a94ae3,United States,195.99,False
ad556d,United States,58.65,False
acd2be,United States,205.72,False
a99a3d,United States,210.62,False
acd2d3,United States,185.76,False
a99a52,United States,210.9,False
a7c465,United States,49.8,False
a8f77c,United States,116.08,False
ac7bed,United States,126.18,False
a2f9b3,United States,239.34,False
440ced,Austria,228.55,False
a1bfb2,United States,215.98,False
471f78,Hungary,221.85,False
3c5423,Germany,13.38,True
accbbe,United States,38.92,False
0d123a,Mexico,8.23,True
e4936a,Brazil,213.63,False
3c5428,Germany,66.01,False
0d0b67,Mexico,95.79,False
0d0b66,Mexico,176.55,False
471f71,Hungary,245.59,False
e4803d,Brazil,212.4,False
471f70,Hungary,204.85,False
aa91f5,United States,212.59,False
a35605,United States,214.94,False
e48045,Brazil,159.45,False
a16ff1,United States,194.47,False
a99a63,United States,32.96,False
ab0293,United States,56.0,False
3c5421,Germany,137.16,False
a8a7eb,United States,51.97,False
ac226f,United States,44.35,False
3c5434,Germany,141.23,False
3c542b,Germany,0.0,True
ac1b8a,United States,59.7,False
7809aa,China,235.87,False
ac1b8b,United States,156.43,False
3c542a,Germany,200.44,False
4520c4,Bulgaria,210.26,False
4400dc,Austria,62.96,False
a03cb6,United States,178.07,False
e48011,Brazil,221.17,False
c81ca7,New Zealand,53.19,False
c07c7b,Canada,277.12,False
4400be,Austria,215.55,False
aa8af8,United States,85.79,False
c07c7a,Canada,214.36,False
a16fcb,United States,84.16,False
34440a,Spain,206.43,False
a8e445,United States,102.79,False
3c542e,Germany,224.1,False
a03cc5,United States,193.44,False
3c542d,Germany,233.03,False
a711ff,United States,57.29,False
471f3d,Hungary,224.22,False
3c542c,Germany,217.93,False
a10308,United States,59.38,False
7809d8,China,202.59,False
a6191c,United States,49.92,False
a7743f,United States,1.29,True
a6a445,United States,75.0,False
a08038,United States,185.54,False
3c6709,Germany,5.14,True
3c6708,Germany,0.0,True
c81cb1,New Zealand,37.68,False
a3696e,United States,226.57,False
a7d74b,United States,46.49,False
a70abe,United States,69.43,False
0d0b19,Mexico,151.2,False
440cc1,Austria,72.94,False
a1fc3b,United States,247.14,False
a844c7,United States,16.59,False
aa2a54,United States,191.45,False
a844c4,United States,39.62,False
a4894a,United States,43.71,False
a6f1a4,United States,48.44,False
ae625e,United States,112.14,False
a1bff9,United States,213.74,False
a296e7,United States,74.61,False
a69adb,United States,27.95,False
a604fd,United States,59.39,False
3c6710,Germany,77.17,False
a40ca4,United States,13.38,True
3c6716,Germany,258.97,False
471f37,Hungary,249.3,False
3c6715,Germany,191.96,False
7c492a,Australia,0.19,True
a163f2,United States,237.7,False
3c6719,Germany,213.97,False
a3f48a,United States,183.2,False
a9b4a4,United States,182.2,False
a23675,United States,2.31,True
a21c4c,United States,133.46,False
a82aa8,United States,208.33,False
801612,India,132.83,False
a0dc64,United States,54.37,False
a69ae7,United States,58.93,False
a99a21,United States,41.48,False
ab5d08,United States,54.57,False
aa91b5,United States,187.67,False
a21c53,United States,204.77,False
471f03,Hungary,168.29,False
a22f60,United States,49.24,False
a030a8,United States,161.6,False
ae627c,United States,147.08,False
7c2f11,Australia,85.4,False
a63a5c,United States,0.0,True
a65484,United States,210.03,False
a22f4a,United States,148.42,False
a163c2,United States,185.16,False
c823b8,New Zealand,49.94,False
a426a5,United States,258.39,False
aaa724,United States,48.32,False
a844e0,United States,39.26,False
3c670f,Germany,254.29,False
e48053,Brazil,79.29,False
3c670d,Germany,281.57,False
a8943d,United States,197.77,False
a831b2,United States,245.25,False
a95db5,United States,253.11,False
a8a7ae,United States,7.46,True
a36968,United States,61.49,False
a6eacf,United States,196.01,False
a977bb,United States,267.2,False
e07543,Argentina,0.0,True
a711c2,United States,35.68,False
