icao24,origin_country,velocity,on_ground
39de4f,France,246.33,False
80162d,India,226.13,False
801638,India,0.0,True
39de4b,France,228.18,False
39de4a,France,206.26,False
39de4d,France,219.47,False
39de4c,France,232.6,False
39de57,France,218.46,False
801642,India,192.08,False
801645,India,0.0,False
a5953a,United States,68.81,False
3ffc20,Germany,55.8,False
80162e,India,2.31,False
39de50,France,213.88,False
488280,Poland,36.58,False
39de55,France,225.49,False
39de54,France,165.36,False
801649,India,221.13,False
801647,India,215.74,False
801657,India,4.63,True
aae316,United States,275.99,False
80163f,India,213.63,False
00b22c,South Africa,95.7,False
80160b,India,85.9,False
3ffc02,Germany,48.35,False
801619,India,212.51,False
489591,Poland,47.42,False
801623,India,272.1,False
80160d,India,252.2,False
ad5623,United States,223.99,False
80161c,India,232.08,False
801627,India,209.47,False
acdfab,United States,216.91,False
39de46,France,179.46,False
801630,India,44.8,False
488252,Poland,167.04,False
39de45,France,235.25,False
39de48,France,235.69,False
39de47,France,144.02,False
3945f5,France,44.67,False
39de40,France,226.5,False
80161e,India,267.8,False
39de41,France,229.48,False
80166c,India,237.54,False
ac498c,United States,274.05,False
801686,India,187.19,False
a47597,United States,5.14,True
801689,India,94.77,False
488242,Poland,31.85,False
4bc8c9,Turkey,208.71,False
4bc8c6,Turkey,218.06,False
4bc8c7,Turkey,237.76,False
4bc8c4,Turkey,214.64,False
4bc8c5,Turkey,225.49,False
4bc8c2,Turkey,97.95,False
4bc8c3,Turkey,222.42,False
a7bc8e,United States,45.48,False
801680,India,255.11,False
e0b1d5,Argentina,49.87,False
4bc8d0,Turkey,0.64,False
80167f,India,224.49,False
440287,Austria,64.65,False
511170,Estonia,213.53,False
440286,Austria,79.39,False
440291,Austria,52.72,False
3d23b9,Germany,34.61,False
801698,India,216.68,False
4bc8d5,Turkey,177.0,False
4bc8d4,Turkey,224.21,False
4bc8d2,Turkey,215.63,False
3442cb,Spain,132.57,False
e8025f,Chile,232.11,False
80164e,India,128.98,False
80164f,India,5.66,True
ac101f,United States,199.76,False
acdffc,United States,8.23,True
a3a538,United States,241.65,False
471eff,Hungary,208.67,False
471efd,Hungary,217.93,False
ac3688,United States,200.6,False
44029f,Austria,232.6,False
80165c,India,0.64,True
a4d84d,United States,93.95,False
e8026c,Chile,5.4,True
511194,Estonia,236.74,False
ac1042,United States,149.1,False
a3556f,United States,162.12,False
abf025,United States,212.25,False
a4c527,United States,10.8,True
aa8075,United States,66.88,False
4acb41,Sweden,240.21,False
4acb43,Sweden,245.56,False
4acb42,Sweden,204.17,False
4acb45,Sweden,239.74,False
a7bbe9,United States,246.51,False
adda23,United States,196.65,False
e80219,Chile,12.86,False
440248,Austria,238.64,False
3455d8,Spain,235.61,False
4acb58,Sweden,242.49,False
e8020f,Chile,231.27,False
4acb59,Sweden,240.33,False
a6f23d,United States,210.94,False
3c5ee7,Germany,238.01,False
80168c,India,5.66,True
aa9382,United States,24.83,False
3c5ee5,Germany,181.06,False
0d11e6,Mexico,251.05,False
3c5ee9,Germany,63.89,False
4bc8cf,Turkey,252.54,False
3ffc7d,Germany,47.22,False
4bc8cd,Turkey,226.88,False
4acb23,Sweden,238.85,False
4bc8cc,Turkey,235.61,False
4bc8ca,Turkey,232.98,False
adda48,United States,212.7,False
3455c1,Spain,110.86,False
e48be3,Brazil,229.65,False
3c5ee3,Germany,217.21,False
ad41cd,United States,4.63,True
ad41ed,United States,67.55,False
80169d,India,251.95,False
a34291,United States,207.02,False
46b82a,Greece,214.85,False
46b82d,Greece,242.46,False
46b82b,Greece,222.57,False
3c5eeb,Germany,213.89,False
46b82f,Greece,144.06,False
a3428e,United States,269.51,False
e80241,Chile,156.52,False
3c5ef0,Germany,202.97,False
3c5ef5,Germany,202.11,False
a8dbbd,United States,89.83,False
